employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure_in_months,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
239811,24,Male,7,Healthcare,3836,Fair,Medium,Low,0,No,55,Associate Degree,Married,4,Mid,Medium,36.0,No,No,No,Fair,,Stayed
7106593,24,Female,2,Healthcare,10264,Fair,Very High,High,1,No,48,Master's Degree,Married,0,Mid,Medium,78.0,No,No,No,Good,,Stayed
9678311,59,Female,38,Education,10117,Poor,Very High,High,0,No,55,High School,Married,4,Entry,Medium,53.0,No,No,Yes,Good,Yes,Stayed
14183048,59,Female,41,Education,4662,Fair,Medium,High,0,No,75,PhD,Divorced,4,Senior,Large,54.0,No,No,Yes,Excellent,,Left
14676016,24,Female,1,Education,9891,Fair,High,High,3,No,50,High School,,3,Mid,Small,,No,No,No,Excellent,,Stayed
11882154,41,Male,10,Finance,3681,Fair,Very High,High,0,No,47,PhD,Married,0,Mid,Medium,21.0,No,No,No,Fair,Yes,Stayed
10200030,24,Male,14,Education,9685,Poor,High,Low,0,Yes,61,PhD,Married,0,Entry,Large,93.0,No,No,No,Fair,Yes,Left
3565220,59,Female,27,Education,3681,Good,High,High,0,No,40,High School,Married,3,Mid,Medium,21.0,No,No,No,Excellent,,Stayed
7124174,24,Female,14,Education,9029,Good,High,High,2,No,38,PhD,,1,Entry,Medium,93.0,No,No,No,Good,,Left
11728334,47,Female,22,Healthcare,3681,Excellent,Very High,Average,0,No,75,High School,Married,4,Senior,Medium,21.0,No,No,Yes,Good,,Stayed
2054806,59,Female,16,Education,6584,Good,High,Low,3,No,75,High School,Married,0,Mid,Medium,54.0,No,No,No,Good,,Left
14197648,59,Male,12,Healthcare,6198,Good,High,High,1,No,32,Master's Degree,Single,4,Senior,Medium,63.0,Yes,No,No,Good,,Stayed
4423712,24,Female,26,Education,4715,Excellent,High,High,0,Yes,42,Master's Degree,Married,4,Entry,Small,,No,No,No,Poor,,Left
11637868,24,Male,1,Healthcare,3681,Excellent,High,High,0,No,9,Master's Degree,Single,2,Mid,Large,,No,No,No,Poor,Yes,Stayed
10795124,24,Male,1,Education,8668,Fair,High,Below Aver,0,No,27,High School,Married,0,Mid,Medium,45.0,No,No,No,Fair,Yes,Left
8168122,24,Male,37,Education,3681,Excellent,Very High,Average,0,Yes,75,High School,Married,4,Mid,Medium,21.0,,No,No,Good,,Stayed
15004487,46,Male,22,Technology,3681,Excellent,High,High,2,Yes,75,PhD,Divorced,1,Mid,Small,79.0,,No,No,Excellent,,Stayed
9925988,31,Male,1,Technology,9133,Good,Medium,Low,2,No,11,High School,Married,2,Mid,Medium,93.0,No,No,No,Excellent,,Stayed
13258426,33,Female,31,Education,7576,Fair,Very High,High,0,No,5,High School,Married,2,Entry,Medium,,No,No,No,Fair,,Left
8331394,24,Male,5,Education,3681,Fair,Medium,Low,0,No,75,High School,Divorced,4,Entry,Medium,92.0,No,No,No,Good,,Stayed
14685504,35,Male,1,Media,4485,Fair,Very High,Average,0,Yes,75,Associate Degree,Married,0,Entry,Medium,91.0,No,No,No,Excellent,,Left
8201869,47,Female,1,Finance,3681,Fair,Very High,Low,1,No,73,High School,Divorced,4,Entry,Small,93.0,No,No,No,Good,,Stayed
11552453,59,Female,10,Education,5867,Good,Very High,High,1,No,5,PhD,Single,4,Mid,Medium,25.0,No,No,No,Excellent,,Stayed
3709954,24,Female,29,Media,6047,Fair,High,Average,1,No,33,PhD,Married,4,Mid,Medium,72.0,No,No,No,Good,,Left
895384,59,Male,35,Education,7099,Good,Very High,Average,3,No,10,PhD,Divorced,1,Senior,Medium,93.0,,No,Yes,Poor,,Stayed
2853012,59,Female,30,Education,3681,Excellent,High,High,1,No,75,Master's Degree,Divorced,0,Entry,Small,29.0,,No,No,Poor,,Left
8561039,48,Male,1,Education,3681,Fair,High,Low,3,No,75,High School,,1,Entry,Medium,32.0,Yes,No,No,Fair,Yes,Left
11154019,24,Female,5,Education,3681,Poor,High,High,3,Yes,66,High School,Married,0,Entry,Medium,93.0,Yes,No,No,Excellent,,Stayed
16575788,59,Female,11,Education,3681,Fair,High,Below Aver,3,Yes,75,High School,Married,2,Entry,Medium,53.0,No,No,No,Poor,,Left
15297879,39,Male,6,Education,3681,Fair,High,Average,1,No,75,Associate Degree,Divorced,0,Entry,Medium,93.0,,No,No,Good,,Left
14349319,27,Male,1,Education,7089,Poor,Very High,High,0,No,75,High School,Married,0,Mid,Medium,56.0,Yes,No,No,Fair,,Stayed
6133226,24,Male,22,Education,3681,Excellent,High,High,3,Yes,75,High School,Married,4,Entry,Large,41.0,No,No,No,Poor,,Stayed
16766407,24,Male,2,Media,11223,Poor,High,High,1,No,5,Bachelor's Degree,Married,3,Entry,Medium,88.0,No,No,No,Fair,Yes,Stayed
10079696,26,Female,1,Education,11223,Good,Medium,Below Aver,1,No,19,Master's Degree,,1,Entry,Large,42.0,No,No,No,Fair,Yes,Left
10279668,59,Female,1,Media,10656,Excellent,High,Average,3,No,75,PhD,Divorced,0,Mid,Medium,21.0,Yes,No,No,Good,,Stayed
13549274,24,Female,35,Education,3681,Good,High,High,1,Yes,75,High School,Married,0,Entry,Small,21.0,No,No,Yes,Poor,,Stayed
11096473,36,Female,44,Education,7118,Good,High,High,0,No,35,High School,Single,1,Mid,Medium,77.0,Yes,No,No,Good,,Stayed
7705020,39,Female,5,Education,3681,Good,High,Below Aver,2,Yes,75,High School,Married,0,Mid,Medium,53.0,No,No,No,Fair,,Stayed
7271213,44,Male,1,Education,11223,Poor,High,High,1,No,75,High School,Single,0,Mid,Medium,78.0,Yes,No,No,Excellent,,Stayed
13536084,50,Female,9,Education,11223,Good,High,Average,1,No,51,High School,Single,0,Entry,Small,35.0,Yes,No,No,Fair,,Stayed
6883363,43,Male,3,Education,11223,Good,Very High,High,3,No,5,PhD,Married,0,Entry,Medium,71.0,No,No,Yes,Poor,,Left
