Employee ID;Age;Gender;Education;Job Role;Monthly Income;Work-Life Balance;Job Satisfaction;Performance Rating;Number of Projects;Overtime;Distance From Home;Education Category;Marital Status;Num Job Switches;Company Size;Company Level;Remote Work;Leadership Skill;Innovation Skill;Company Relationship;Employee Involvement;Attrition
51448;17;Female;6;Finance;7701;Fair;High;0;;Yes;1;High School;Married;1;Entry;Medium;0;Yes;Yes;No;Good;Stayed
12259;31;Male;11;Media;518;Good;Low;2;;No;2;BachelorM;Single;2;Senior;Small;0;No;No;No;Excellent;Left
18398;37;Male;11;Education;1012;Fair;High;0;;No;0;MasterM;Married;0;Entry;Medium;88;No;No;No;Good;Left
17543;45;Female;27;Media;6533;Good;High;2;;Yes;1;Associate C;Married;1;Entry;Small;0;Yes;Yes;No;Poor;Stayed
74973;17;Female;23;Media;5983;Excellent;Very High;1;;Yes;1;MasterM;Divorced;3;Mid;Medium;0;No;No;No;Good;Stayed
64805;38;Female;4;Finance;831;Low;Low;2;;No;8;BachelorM;Single;4;Entry;Small;0;No;No;No;Good;Stayed
28604;31;Female;2;Education;805;Low;Low;2;;No;1;BachelorM;Divorced;0;Entry;Small;0;No;No;No;Good;Stayed
24350;56;Male;22;Media;6665;Excellent;High;2;;No;1;BachelorM;Divorced;2;Mid;Medium;0;No;No;No;Good;Stayed
72979;40;Male;12;Media;8781;Good;Very High;1;;Yes;1;BachelorM;Single;1;Entry;Small;0;Yes;Yes;No;Poor;Left
24437;47;Female;4;Technology;9654;Good;High;0;;Yes;1;BachelorM;Married;1;Entry;Small;0;No;No;No;Poor;Left
34857;47;Female;36;Technology;8462;Fair;High;1;;Yes;1;Associate C;Single;0;Entry;Medium;67;Yes;No;No;Poor;Left
28646;25;Female;2;Healthcare;8057;Good;High;2;;No;1;Associate C;Divorced;2;Entry;Medium;23;No;No;No;Good;Stayed
13577;51;Female;17;Healthcare;6807;Excellent;High;0;;Yes;1;BachelorM;Divorced;2;Entry;Small;68;Yes;No;No;Good;Stayed
70003;36;Male;8;Technology;9775;Fair;High;1;;Yes;1;BachelorM;Single;1;Mid;Medium;0;No;No;No;Poor;Left
41885;30;Male;28;Media;5008;Good;High;0;;No;1;Associate C;Married;0;Senior;Small;0;No;No;No;Good;Stayed
24204;34;Male;13;Technology;5874;Fair;High;0;;No;1;High School;Single;1;Mid;Small;0;No;No;No;Good;Left
5254;48;Female;18;Technology;7976;Fair;High;0;;Yes;1;MasterM;Married;2;Mid;Small;0;No;No;No;Good;Stayed
33430;21;Male;11;Media;6302;Poor;High;0;;No;19;MasterM;Married;0;Senior;Small;0;No;No;No;Good;Left
64756;29;Female;4;Media;8559;Poor;High;3;;No;21;MasterM;Divorced;3;Mid;Small;0;No;No;No;Fair;Stayed
66579;28;Female;12;Technology;10113;Fair;Medium;2;;No;10;BachelorM;Married;3;Mid;Small;0;No;No;No;Good;Stayed
54104;28;Male;3;Finance;8673;Excellent;High;0;;No;1;Associate C;Single;1;Entry;Large;0;No;No;No;Good;Left
18361;47;Male;22;Education;9884;Poor;Very High;1;;No;1;High School;Married;0;Mid;Medium;0;Yes;No;No;Good;Stayed
4098;30;Female;2;Technology;5040;Fair;Low;1;;No;1;Associate C;Single;2;Entry;Small;0;Yes;No;No;Excellent;Left
27742;28;Male;13;Technology;6707;Excellent;High;0;;No;1;BachelorM;Single;3;Senior;Small;0;No;No;No;Good;Stayed
12259;31;Male;11;Media;518;Good;Low;2;;No;2;BachelorM;Single;2;Senior;Small;0;No;No;No;Excellent;Left
27451;34;Male;33;Media;519;Fair;Medium;0;;Yes;1;High School;Single;2;Mid;Small;0;No;No;No;Fair;Left
58005;51;Male;16;Healthcare;8407;Good;Very High;1;;No;1;BachelorM;Single;1;Entry;Small;0;No;No;No;Good;Left
45844;43;Male;18;Education;7962;Fair;Average;0;;No;1;MasterM;Married;2;Entry;Small;0;No;No;No;Good;Stayed
18392;37;Male;11;Education;1012;Fair;High;0;;No;0;MasterM;Married;0;Entry;Medium;0;No;No;No;Good;Stayed
18598;35;Female;11;Technology;1012;Fair;High;0;;No;0;BachelorM;Married;0;Senior;Small;0;Yes;No;No;Poor;Stayed
76059;30;Male;15;Finance;758;Excellent;High;2;;No;1;High School;Married;0;Mid;Medium;0;No;No;No;Fair;Stayed
69565;38;Male;1;Finance;7840;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Medium;0;Yes;No;No;Poor;Left
64242;27;Male;14;Finance;6026;Poor;High;0;;Yes;3;BachelorM;Single;2;Mid;Large;0;No;No;No;Poor;Left
24437;47;Female;4;Technology;10351;Good;High;0;;Yes;1;BachelorM;Married;1;Entry;Small;0;No;No;No;Poor;Left
46506;23;Male;2;Technology;809;Fair;High;1;;No;23;High School;Divorced;1;Senior;Medium;0;No;No;No;Good;Stayed
68364;41;Female;11;Education;4451;Poor;Very High;0;;No;1;Associate C;Married;2;Senior;Medium;0;No;No;No;Excellent;Left
3169;55;Female;2;Education;359;Good;High;0;;No;1;Associate C;Single;1;Entry;Large;0;No;No;No;Fair;Stayed
43193;21;Female;10;Healthcare;7987;Fair;Average;0;;No;1;MasterM;Single;1;Entry;Large;0;Yes;No;No;High;Stayed
43193;21;Female;10;Healthcare;7987;Fair;Average;0;;No;1;MasterM;Single;1;Entry;Large;0;Yes;No;No;High;Stayed
67257;53;Female;23;Healthcare;8876;Fair;Low;2;;Yes;3;High School;Married;3;Entry;Medium;0;No;No;No;Fair;Stayed
65026;36;Male;7;Education;5050;Good;High;1;;No;27;High School;Single;2;Entry;Medium;0;No;No;No;Excellent;Left
31826;49;Male;9;Healthcare;8340;Good;High;1;;No;1;High School;Married;0;Entry;Large;0;No;No;No;Fair;Low;Left
64500;37;Male;22;Finance;10693;Fair;High;1;;No;1;BachelorM;Married;1;Mid;Medium;0;No;No;No;Good;Left
19559;27;Male;10;Media;6400;Good;Average;0;;No;1;BachelorM;Married;0;Entry;Medium;0;No;No;No;Good;Stayed
62882;27;Male;17;Media;5678;Fair;High;2;;No;2;BachelorM;Married;2;Mid;Medium;0;No;No;No;Good;Left
7424;58;Male;34;Technology;8693;Fair;High;0;;No;1;BachelorM;Divorced;0;Senior;Large;0;Yes;Yes;No;Good;Stayed
5424;46;Female;1;Education;6022;Poor;High;0;;Yes;1;Associate C;Married;2;Entry;Medium;0;Yes;No;No;Good;Left
3688;44;Female;24;Technology;9827;Poor;High;0;;No;1;MasterM;Divorced;0;Entry;Medium;0;No;No;No;Fair;Stayed
3625;38;Male;18;Education;5249;Good;High;1;;No;1;MasterM;Divorced;2;Mid;Medium;0;Yes;No;No;Good;Stayed
69511;43;Male;13;Media;1035;Fair;Low;1;;Yes;1;BachelorM;Single;1;Entry;Small;0;No;No;No;Fair;Stayed
46550;43;Male;18;Technology;791;Good;High;0;;No;1;High School;Married;10;Entry;Medium;0;No;No;No;Poor;Stayed
60485;30;Male;10;Media;5397;Excellent;Low;1;;Yes;0;BachelorM;Married;0;Entry;Large;0;No;No;No;Poor;Left
31919;37;Male;19;Healthcare;8155;Good;High;0;;No;1;PhD;Single;0;Entry;Medium;0;No;No;No;Good;Stayed
14319;37;Male;19;Healthcare;8155;Good;High;0;;No;1;Associate C;Married;0;Entry;Medium;0;No;No;No;Good;Stayed
65739;58;Female;40;Media;6940;Good;High;0;;No;1;Associate C;Married;1;Senior;Large;0;Yes;No;No;Poor;Stayed
43193;21;Female;10;Education;4793;Fair;High;0;;No;1;PhD;Married;4;Entry;Large;0;Yes;No;No;High;Stayed
34857;47;Female;36;Healthcare;8462;Good;High;1;;Yes;1;BachelorM;Married;1;Entry;Medium;0;Yes;No;No;Poor;Left
72101;40;Male;2;Technology;6601;Fair;Medium;0;;No;1;Associate C;Divorced;4;Senior;Large;0;No;No;No;Excellent;Left
46992;31;Female;8;Technology;7207;Excellent;Medium;2;;Yes;1;BachelorM;Single;0;Entry;Small;0;Yes;Yes;No;Excellent;Left
27451;34;Male;33;Healthcare;519;Fair;Medium;0;;Yes;1;High School;Single;2;Entry;Large;0;No;No;No;Fair;Left
23371;49;Male;22;Finance;12041;Excellent;High;1;;No;1;PhD;Single;0;Mid;Small;0;No;No;No;Good;Stayed
41179;31;Female;1;Finance;658;Fair;Low;1;;No;1;MasterM;Single;4;Entry;Small;0;No;No;No;Good;Left
17009;51;Male;41;Healthcare;758;Excellent;High;2;;No;1;MasterM;Divorced;3;Mid;Small;0;No;No;No;Good;Stayed
19008;43;Male;11;Education;4061;Good;High;0;;No;1;MasterM;Single;0;Entry;Medium;0;Yes;No;No;Good;Stayed
19252;47;Female;11;Technology;9197;Good;High;1;;Yes;1;High School;Married;10;Senior;Large;0;No;No;No;Good;Stayed
67257;53;Female;23;Healthcare;8876;Fair;Low;2;;Yes;3;High School;Married;3;Entry;Medium;0;No;No;No;Fair;Stayed
29643;32;Female;11;Technology;6444;Good;Medium;0;;No;1;High School;Single;1;Entry;Small;0;No;No;No;Poor;Stayed
23691;25;Male;3;Healthcare;7406;Good;Low;3;;No;1;Associate C;Married;0;Entry;Medium;0;Yes;Yes;No;Poor;Left
28854;37;Female;7;Media;8097;Good;High;0;;No;1;Associate C;Married;0;Senior;Small;0;Yes;No;No;Excellent;Stayed
68361;41;Female;11;Education;4451;Good;High;0;;No;1;Associate C;Married;2;Senior;Medium;0;No;No;No;Excellent;Left
32705;46;Female;6;Technology;10298;Fair;High;0;;No;1;BachelorM;Single;0;Entry;Medium;0;No;No;No;Poor;Left
73703;36;Male;24;Technology;8973;Excellent;Very High;1;;No;1;MasterM;Divorced;1;Entry;Large;0;No;No;No;Excellent;Left
74975;17;Female;23;Healthcare;5983;Excellent;Very High;1;;Yes;1;MasterM;Divorced;3;Entry;Small;0;No;No;No;Good;Stayed
34465;40;Female;22;Education;4022;Excellent;Very High;0;;Yes;1;MasterM;Married;4;Entry;Medium;0;No;No;No;Good;Left
2110;41;Male;11;Finance;8357;Poor;High;0;;No;1;MasterM;Single;4;Entry;Medium;0;No;No;No;High;Stayed
2059;45;Female;17;Finance;8357;Poor;High;0;;No;1;MasterM;Single;4;Entry;Small;0;No;No;No;High;Stayed
4509;9;Education;6934;Fair;High;1;;No;1;Associate C;Married;1;Mid;Medium;0;No;No;No;Good;Stayed
71441;56;Male;32;Healthcare;6690;Excellent;Medium;1;;No;1;High School;Married;10;Entry;Small;0;No;No;No;Fair;Stayed
63893;33;Male;11;Healthcare;7088;Good;Medium;0;;No;1;Associate C;Married;0;Entry;Medium;0;No;No;No;Fair;Left
29623;55;Male;40;Technology;917;Fair;Low;0;;No;1;Associate C;Single;0;Mid;Large;0;No;No;No;Good;Left
38110;27;Male;28;Media;1035;Fair;High;2;;No;1;BachelorM;Single;0;Mid;Medium;0;No;No;No;Good;Left
28636;24;Male;11;Healthcare;8056;Good;High;2;;No;55;BachelorM;Divorced;2;Senior;Small;0;No;No;No;Excellent;Stayed
20221;26;Female;4;Technology;7823;Good;High;1;;No;10;High School;Married;0;Senior;Small;0;No;No;No;Good;Stayed
28368;21;Male;8;Healthcare;10200;Good;Average;2;;No;1;High School;Married;10;Senior;Small;0;No;No;No;Fair;Stayed
49581;30;Female;4;Technology;964;Fair;Low;2;;No;1;Associate C;Divorced;1;Entry;Large;0;No;No;No;Good;Stayed
49959;24;Male;23;Education;1093;Fair;High;1;;Yes;75;High School;Married;0;Entry;Small;0;No;No;No;Good;Left
72401;41;Male;39;Finance;9453;Good;Very High;1;;No;1;BachelorM;Married;0;Senior;Small;0;No;No;No;Fair;Stayed
34465;40;Female;22;Education;4022;Excellent;Very High;0;;Yes;1;MasterM;Married;4;Entry;Medium;0;No;No;No;Good;Left
65026;36;Male;7;Education;5050;Good;High;1;;No;27;High School;Single;2;Entry;Medium;0;No;No;No;Excellent;Left
19252;47;Female;11;Technology;9197;Good;High;1;;Yes;1;High School;Married;10;Senior;Large;0;No;No;No;Good;Stayed
59586;30;Female;19;Technology;10381;Excellent;High;1;;No;1;Associate C;Married;1;Entry;Medium;0;No;No;No;Poor;Stayed
3770;54;Male;2;Healthcare;876;Good;Very High;0;;Yes;1;High School;Married;10;Entry;Small;0;No;No;No;Good;Left
14996;47;Female;2;Technology;6359;Fair;Very High;1;;No;9;MasterM;Divorced;1;Entry;Small;0;No;No;No;Good;Left
25774;54;Male;39;Healthcare;908;Fair;High;0;;No;1;MasterM;Married;1;Mid;Small;0;No;No;No;Poor;Left
3708;44;Female;12;Education;6977;Excellent;High;1;;No;1;Associate C;Single;3;Mid;Small;0;No;No;No;Excellent;Stayed
63519;39;Female;16;Healthcare;9027;Fair;High;0;;Yes;1;BachelorM;Single;0;Mid;Small;0;Yes;No;No;Good;Stayed
58084;39;Female;1;Finance;8079;Excellent;High;1;;No;1;MasterM;Single;0;Entry;Medium;0;No;No;No;Good;Left
63113;45;Female;20;Healthcare;9003;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Small;0;No;No;No;Good;Left
43193;21;Female;10;Healthcare;7987;Fair;Average;0;;No;1;MasterM;Single;1;Entry;Large;0;Yes;No;No;High;Stayed
69565;38;Male;1;Finance;7840;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Medium;0;Yes;No;No;Poor;Left
31826;49;Male;9;Healthcare;8340;Good;High;1;;No;1;High School;Married;0;Entry;Large;0;No;No;No;Fair;Low;Left
27409;38;Female;29;Finance;9319;Good;High;0;;No;1;MasterM;Divorced;0;Entry;Small;0;No;No;No;Good;Stayed
4320;43;Male;11;Education;102;Fair;High;0;;No;1;MasterM;Married;2;Entry;Small;0;No;No;No;Good;Stayed
5984;29;Female;26;Finance;1175;Fair;High;0;;No;1;Associate C;Divorced;3;Entry;Medium;0;No;No;No;Good;Left
55188;20;Male;2;Media;6453;Excellent;Average;2;;No;1;Associate C;Married;1;Entry;Medium;0;No;No;No;Good;Left
24208;34;Male;13;Media;5874;Fair;High;0;;No;1;High School;Single;1;Mid;Medium;0;No;No;No;Good;Left
34857;47;Female;36;Healthcare;8462;Good;High;1;;Yes;1;BachelorM;Married;1;Entry;Medium;0;Yes;No;No;Poor;Left
23689;30;Female;3;Technology;1096;Fair;High;0;;No;1;Associate C;Married;2;Entry;Medium;0;No;No;No;Good;Left
11485;48;Male;1;Education;7233;Good;Medium;0;;Yes;1;BachelorM;Married;0;Senior;Medium;0;No;No;No;Fair;Stayed
29229;28;Male;18;Education;7233;Good;Medium;0;;Yes;1;High School;Married;10;Entry;Medium;0;No;No;No;Poor;Left
26101;18;Male;17;Technology;8300;Good;Average;2;;Yes;1;Associate C;Single;0;Entry;Medium;0;Yes;Yes;No;Good;Stayed
19944;41;Male;11;Education;810;Good;High;1;;No;1;BachelorM;Married;0;Entry;Small;0;No;No;No;Good;Stayed
23684;30;Male;3;Technology;1096;Fair;High;0;;No;1;Associate C;Married;2;Entry;Medium;0;No;No;No;Good;Left
36866;41;Female;11;Education;8723;Good;High;0;;No;1;BachelorM;Married;0;Entry;Small;0;No;No;No;Good;Left
13011;47;Male;13;Media;953;Good;Very High;1;;No;1;High School;Married;0;Senior;Small;0;No;No;No;Good;Stayed
3422;38;Male;2;Finance;7708;Poor;High;0;;Yes;1;High School;Married;0;Entry;Medium;0;Yes;Yes;No;Good;Stayed
1347;39;Male;1;Technology;9791;Excellent;Very High;0;;No;1;PhD;Married;0;Senior;Small;0;No;No;No;Good;Left
69988;22;Female;6;Finance;7293;Poor;High;0;;No;1;BachelorM;Married;4;Entry;Medium;0;Yes;No;No;Good;Stayed
19546;51;Male;11;Education;3625;Good;Low;2;;No;1;BachelorM;Single;2;Senior;Small;0;No;No;No;Excellent;Left
13577;51;Female;17;Healthcare;6807;Excellent;High;0;;Yes;1;BachelorM;Divorced;2;Entry;Small;68;Yes;No;No;Good;Stayed
37598;51;Male;42;Media;2625;Good;High;2;;Yes;1;MasterM;Married;3;Mid;Medium;0;Yes;No;No;Poor;Stayed
53028;46;Male;26;Education;4199;Good;High;2;;Yes;1;MasterM;Married;4;Mid;Medium;0;No;No;No;Good;Stayed
37598;51;Male;42;Media;2625;Good;High;2;;Yes;1;MasterM;Married;3;Mid;Medium;0;Yes;No;No;Poor;Stayed
36878;50;Male;16;Media;1155;Good;Low;2;;No;1;BachelorM;Single;2;Mid;Medium;0;No;No;No;Excellent;Stayed
43193;21;Female;10;Healthcare;7987;Fair;Average;0;;No;1;MasterM;Single;1;Entry;Large;0;Yes;No;No;High;Stayed
34857;47;Female;36;Healthcare;8462;Good;High;1;;Yes;1;BachelorM;Married;1;Entry;Medium;0;Yes;No;No;Poor;Left
19528;3;Media;5891;Good;Low;1;;No;1;BachelorM;Single;2;Mid;Medium;0;No;No;No;Good;Left
20864;22;Female;36;Technology;8609;Good;High;1;;Yes;1;Associate C;Married;4;Mid;Medium;0;No;No;No;Good;Stayed
59159;23;Male;13;Media;6502;Good;High;1;;Yes;1;BachelorM;Divorced;2;Entry;Medium;0;Yes;No;No;Poor;Left
20960;47;Female;9;Healthcare;6407;Good;High;0;;Yes;1;Associate C;Married;1;Mid;Medium;0;No;No;No;Good;Stayed
4904;43;Male;18;Education;7962;Fair;Average;0;;No;1;MasterM;Married;2;Entry;Small;0;No;No;No;Good;Stayed
56396;50;Male;20;Education;777;Poor;High;0;;No;1;MasterM;Married;1;Entry;Small;0;No;No;No;Good;Stayed
408;55;Female;2;Healthcare;7460;Good;High;0;;Yes;1;High School;Married;10;Entry;Medium;0;Yes;No;No;Good;Stayed
53024;48;Female;11;Education;6302;Poor;High;0;;No;1;Associate C;Married;0;Senior;Small;0;No;No;No;Good;Left
63519;39;Female;16;Healthcare;9027;Fair;High;0;;Yes;1;BachelorM;Single;0;Mid;Small;0;Yes;No;No;Good;Stayed
58588;26;Female;5;Finance;7306;Good;High;0;;No;1;BachelorM;Single;3;Mid;Small;0;Yes;No;No;Good;Stayed
52620;58;Male;26;Technology;7376;Poor;High;0;;No;1;High School;Single;3;Entry;Large;0;No;No;No;Fair;Stayed
6200;54;Male;42;Finance;10006;Good;High;0;;No;1;MasterM;Married;1;Senior;Small;0;Yes;No;No;Good;Stayed
11200;45;Female;6;Technology;1143;Good;High;0;;No;1;BachelorM;Married;4;Entry;Small;0;No;No;No;Good;Stayed
59134;44;Female;18;Technology;1035;Fair;High;2;;No;1;MasterM;Married;3;Mid;Medium;0;No;No;No;Good;Left
45849;51;Male;32;Education;4111;Excellent;High;1;;Yes;1;MasterM;Married;3;Entry;Small;0;No;No;No;Fair;Stayed
4304;43;Male;11;Education;7962;Fair;Average;0;;No;1;MasterM;Married;2;Entry;Small;0;No;No;No;Good;Stayed
28620;27;Male;2;Education;6365;Fair;High;1;;Yes;1;High School;Married;10;Mid;Small;0;No;No;No;Good;Stayed
29497;48;Female;39;Finance;10264;Good;High;0;;No;1;PhD;Single;2;Mid;Small;0;No;No;No;Good;Stayed
69565;38;Male;1;Finance;7840;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Medium;0;Yes;No;No;Poor;Left
43193;21;Female;10;Healthcare;7987;Fair;Average;0;;No;1;MasterM;Single;1;Entry;Large;0;Yes;No;No;High;Stayed
59134;44;Female;18;Technology;1035;Fair;High;2;;No;1;MasterM;Married;3;Mid;Medium;0;No;No;No;Good;Left
62136;41;Male;2;Media;6238;Fair;High;0;;No;1;BachelorM;Married;3;Entry;Small;0;No;No;No;Good;Left
4904;43;Male;18;Education;7962;Fair;Average;0;;No;1;MasterM;Married;2;Entry;Small;0;No;No;No;Good;Stayed
48390;38;Male;1;Technology;1165;Excellent;High;1;;No;1;BachelorM;Married;4;Entry;Medium;0;No;No;No;Good;Left
50040;38;Female;16;Technology;8988;Good;High;1;;No;1;High School;Married;10;Entry;Small;0;No;No;No;Poor;Stayed
43890;38;Male;1;Technology;1165;Excellent;High;1;;No;1;High School;Married;10;Entry;Small;0;No;No;No;Good;Left
59432;58;Female;19;Technology;7633;Very High;Average;0;;No;1;MasterM;Divorced;2;Mid;Medium;0;Yes;Yes;No;Poor;Stayed
59888;23;Female;23;Technology;7633;Very High;Average;0;;No;1;MasterM;Divorced;2;Mid;Small;0;Yes;Yes;No;Poor;Stayed
37598;51;Male;42;Media;2625;Good;High;2;;Yes;1;MasterM;Married;3;Mid;Medium;0;Yes;No;No;Poor;Stayed
2801;43;Female;8;Technology;908;Poor;Average;1;;No;39;MasterM;Single;0;Entry;Small;0;No;No;No;Poor;Stayed
69565;38;Male;1;Finance;7840;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Medium;0;Yes;No;No;Poor;Left
59134;44;Female;18;Technology;1035;Fair;High;2;;No;1;MasterM;Married;3;Mid;Medium;0;No;No;No;Good;Left
1884;3;Education;2386;Poor;Medium;1;;Yes;1;BachelorM;Married;0;Mid;Small;0;Yes;No;No;Good;Left
3744;2;Technology;10220;Good;High;1;;No;1;Associate C;Single;1;Entry;Medium;0;No;No;No;Good;Stayed
13298;44;Male;19;Media;6139;Fair;High;2;;No;1;MasterM;Divorced;0;Entry;Medium;0;No;No;No;Good;Left
62811;44;Male;11;Education;4021;Good;High;2;;No;1;BachelorM;Single;1;Entry;Medium;0;No;No;No;Fair;Left
23689;30;Female;3;Technology;1096;Fair;High;0;;No;1;Associate C;Married;2;Entry;Medium;0;No;No;No;Good;Left
59888;23;Female;23;Technology;7633;Very High;Average;0;;No;1;MasterM;Divorced;2;Mid;Small;0;Yes;Yes;No;Poor;Stayed
69565;38;Male;1;Finance;7840;Poor;Very High;0;;No;1;Associate C;Single;1;Mid;Medium;0;Yes;No;No;Poor;Left
2631;59;Male;16;Healthcare;8381;Good;High;1;;No;1;MasterM;Single;0;Mid;Large;0;No;No;No;Good;Stayed
3744;2;Technology;10220;Good;High;1;;No;1;Associate C;Single;1;Entry;Medium;0;No;No;No;Good;Stayed
63053;50;Male;31;Technology;11504;Good;Medium;0;;No;1;High School;Married;10;Entry;Medium;0;No;No;No;Poor;Stayed
49673;24;Male;44;Healthcare;8330;Excellent;High;0;;Yes;1;Associate C;Married;4;Mid;Medium;0;No;No;No;Good;Stayed
2801;43;Female;8;Technology;908;Poor;Average;1;;No;39;MasterM;Single;0;Entry;Small;0;No;No;No;Poor;Stayed
50731;28;Male;1;Finance;10531;Good;High;1;;No;19;High School;Married;1;Mid;Small;0;No;No;No;Good;Stayed
32240;50;Male;6;Healthcare;8537;Poor;High;0;;No;1;Associate C;Married;0;Mid;Small;0;No;No;No;Excellent;Left
17737;28;Male;3;Technology;9561;Good;Medium;2;;No;69;High School;Married;0;Entry;Medium;0;No;No;No;Fair;Stayed
33349;47;Male;19;Technology;917;Good;High;1;;No;1;PhD;Divorced;3;Senior;Medium;0;No;No;No;Fair;Stayed
12148;33;Male;16;Technology;917;Good;High;1;;No;1;PhD;Divorced;3;Senior;Medium;0;No;No;No;Fair;Stayed
12148;33;Male;16;Technology;917;Good;High;1;;No;1;PhD;Divorced;3;Senior;Medium;0;No;No;No;Fair;Stayed
